movie_id,rating_count,mean_rating,title
50,583,4.3584905660377355,Star Wars (1977)
258,509,3.8035363457760316,Contact (1997)
100,508,4.155511811023622,Fargo (1996)
181,507,4.007889546351085,Return of the Jedi (1983)
294,485,3.156701030927835,Liar Liar (1997)
286,481,3.656964656964657,"English Patient, The (1996)"
288,478,3.4414225941422596,Scream (1996)
1,452,3.8783185840707963,Toy Story (1995)
300,431,3.6310904872389793,Air Force One (1997)
121,429,3.438228438228438,Independence Day (ID4) (1996)
174,420,4.252380952380952,Raiders of the Lost Ark (1981)
127,413,4.283292978208232,"Godfather, The (1972)"
56,394,4.060913705583756,Pulp Fiction (1994)
7,392,3.798469387755102,Twelve Monkeys (1995)
98,390,4.28974358974359,"Silence of the Lambs, The (1991)"
237,384,3.7109375,Jerry Maguire (1996)
117,378,3.693121693121693,"Rock, The (1996)"
172,367,4.204359673024523,"Empire Strikes Back, The (1980)"
222,365,3.66027397260274,Star Trek: First Contact (1996)
313,350,4.2457142857142856,Titanic (1997)
204,350,3.834285714285714,Back to the Future (1985)
405,344,3.313953488372093,Mission: Impossible (1996)
79,336,4.044642857142857,"Fugitive, The (1993)"
210,331,3.930513595166163,Indiana Jones and the Last Crusade (1989)
151,326,3.6319018404907975,Willy Wonka and the Chocolate Factory (1971)
173,324,4.172839506172839,"Princess Bride, The (1987)"
69,321,3.853582554517134,Forrest Gump (1994)
168,316,4.0664556962025316,Monty Python and the Holy Grail (1974)
748,316,3.1234177215189876,"Saint, The (1997)"
269,315,3.926984126984127,"Full Monty, The (1997)"
257,303,3.745874587458746,Men in Black (1997)
195,301,3.9335548172757475,"Terminator, The (1984)"
423,300,3.8333333333333335,E.T. the Extra-Terrestrial (1982)
9,299,3.8963210702341136,Dead Man Walking (1995)
318,298,4.466442953020135,Schindler's List (1993)
276,298,3.697986577181208,Leaving Las Vegas (1995)
302,297,4.161616161616162,L.A. Confidential (1997)
22,297,4.151515151515151,Braveheart (1995)
